id,name,company,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
9657,Geometry Wars: Galaxies,Nintendo,Wii,2007,Shooter,Vivendi Games,0.11,0,0,0.01,0.13
9658,Actua Tennis,SONY,PS,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0,0.01,0.13
9660,Monster Truck Madness,Nintendo,GBA,2003,Racing,THQ,0.09,0.03,0,0,0.12
9662,Puella Magi Madoka Magica Portable,SONY,PSP,2012,Role-Playing,Namco Bandai Games,0,0,0.12,0,0.12
9663,Ninja Reflex,Nintendo,Wii,2008,Action,Electronic Arts,0.11,0.01,0,0.01,0.12
9664,Peter Jacobsen's Golden Tee Golf,SONY,PS,2000,Sports,Infogrames,0.07,0.05,0,0.01,0.12
9665,Calling,Nintendo,Wii,2009,Adventure,Konami Digital Entertainment,0.07,0.04,0,0.01,0.12
9666,Marvel Avengers: Battle for Earth,Nintendo,WiiU,2012,Action,Ubisoft,0.07,0.04,0,0.01,0.12
9667,Disney's Atlantis: The Lost Empire,Nintendo,GBA,2001,Platform,THQ,0.09,0.03,0,0,0.12
9670,Where the Wild Things Are,Nintendo,Wii,2009,Platform,Warner Bros. Interactive Entertainment,0.11,0,0,0.01,0.12
9672,NHL 2K7,SONY,PS3,2006,Sports,Take-Two Interactive,0.11,0,0,0.01,0.12
9673,Resident Evil,SONY,PS3,2006,Action,Capcom,0,0,0.12,0,0.12
9675,Criticom,SONY,PS,1996,Fighting,Vic Tokai,0.07,0.05,0,0.01,0.12
9676,SCORE International Baja 1000: The Official Game,MICROSOFT,X360,2008,Racing,Activision,0.11,0.01,0,0.01,0.12
9677,Disney Sing It: Party Hits,SONY,PS3,2010,Misc,Disney Interactive Studios,0.1,0.01,0,0.01,0.12
9679,Mega Man X: Command Mission,Nintendo,GC,2004,Role-Playing,Capcom,0.1,0.02,0,0,0.12
9680,Diner Dash: Sizzle & Serve,SONY,PSP,2007,Puzzle,Eidos Interactive,0.11,0,0,0.01,0.12
9681,After Hours Athletes,SONY,PS3,2011,Sports,Sony Computer Entertainment,0,0.1,0,0.03,0.12
9682,Lego Star Wars: The Force Awakens,SONY,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.03,0.07,0,0.02,0.12
9683,Worms 3D,SONY,PS2,2003,Strategy,Sega,0.06,0.05,0,0.02,0.12
9684,Clock Tower: The First Fear,SONY,PS,1997,Adventure,Human Entertainment,0,0,0.12,0.01,0.12
9687,Star Trek: Conquest,Nintendo,Wii,2007,Strategy,Bethesda Softworks,0.11,0.01,0,0.01,0.12
9689,Strikers 1945,SONY,PS,1998,Shooter,Midas Interactive Entertainment,0.07,0.05,0,0.01,0.12
9691,Obscure: The Aftermath,Nintendo,Wii,2008,Action,Playlogic Game Factory,0.12,0,0,0.01,0.12
9692,Galidor: Defenders of the Outer Dimension,Nintendo,GBA,2002,Action,Electronic Arts,0.09,0.03,0,0,0.12
9693,Tom Clancy's Splinter Cell Trilogy,SONY,PS3,2011,Action,Ubisoft,0,0.1,0,0.03,0.12
9694,WRC: FIA World Rally Championship,MICROSOFT,X360,2005,Racing,Black Bean Games,0,0.1,0,0.02,0.12
9696,Blackwater,MICROSOFT,X360,2011,Shooter,505 Games,0.09,0.02,0,0.01,0.12
9697,Pryzm Chapter One: The Dark Unicorn,SONY,PS2,2002,Adventure,TDK Mediactive,0.06,0.05,0,0.02,0.12
9698,Gundam Battle Royale,SONY,PSP,2006,Action,Namco Bandai Games,0,0,0.12,0,0.12
9699,Solitaire & Mahjong,Nintendo,Wii,2009,Puzzle,Crave Entertainment,0.11,0,0,0.01,0.12
9700,Zen-Nippon Pro Wrestling: Ouja no Kon,SONY,PS,1999,Fighting,Human Entertainment,0,0,0.12,0.01,0.12
9701,NASCAR 2005: Chase for the Cup,Nintendo,GC,2004,Racing,Electronic Arts,0.1,0.02,0,0,0.12
9702,Homefront: The Revolution,MICROSOFT,XOne,2016,Shooter,Deep Silver,0.05,0.07,0,0.01,0.12
9703,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",SONY,PS2,2008,Misc,D3Publisher,0,0,0.12,0,0.12
9704,Guilty Gear X,SONY,PS2,2001,Fighting,Sammy Corporation,0.06,0.05,0,0.02,0.12
9705,Deadliest Catch: Sea of Chaos,Nintendo,Wii,2010,Sports,Crave Entertainment,0.12,0,0,0.01,0.12
9707,NHL 2002,Nintendo,GBA,2002,Sports,Electronic Arts,0.09,0.03,0,0,0.12
9708,Disney's PK: Out of the Shadows,SONY,PS2,2002,Platform,Ubisoft,0.06,0.05,0,0.02,0.12
9710,Karaoke Revolution,MICROSOFT,X360,2009,Misc,Konami Digital Entertainment,0.12,0,0,0.01,0.12
9711,Echo Night,SONY,PS,1998,Adventure,From Software,0.03,0.02,0.07,0.01,0.12
9712,Are You Smarter than a 5th Grader? Game Time,MICROSOFT,X360,2009,Puzzle,THQ,0.12,0,0,0.01,0.12
9713,Rocket League,MICROSOFT,XOne,2016,Sports,505 Games,0.03,0.09,0,0.01,0.12
9714,Wild ARMs 5 (jp sales),SONY,PS2,2006,Role-Playing,505 Games,0,0,0.12,0,0.12
9715,Tom Clancy's Splinter Cell: Blacklist,Nintendo,WiiU,2013,Action,Ubisoft,0.05,0.07,0,0.01,0.12
9716,Gladiator Begins,SONY,PSP,2010,Action,PQube,0.05,0.01,0.05,0.01,0.12
9717,Colony Wars III: Red Sun,SONY,PS,2000,Simulation,Psygnosis,0.07,0.05,0,0.01,0.12
9718,Magic: The Gathering - Battlemage,SONY,PS,1997,Strategy,Acclaim Entertainment,0.07,0.05,0,0.01,0.12
9723,The King of Fighters '98 Ultimate Match,SONY,PS2,2008,Fighting,Ignition Entertainment,0.04,0.03,0.03,0.01,0.12
9724,Onechanbara: Bikini Zombie Slayers,Nintendo,Wii,2008,Action,D3Publisher,0.11,0,0,0.01,0.12
9725,Puzzle Quest: Challenge of the Warlords,SONY,PS2,2007,Puzzle,D3Publisher,0.06,0.05,0,0.02,0.12
9727,Guardian's Crusade,SONY,PS,1998,Role-Playing,Activision,0.07,0.05,0,0.01,0.12
9728,Undead Knights,SONY,PSP,2009,Action,Ubisoft Annecy,0.05,0.01,0.06,0.01,0.12
