id,name,company,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
1,Wii Sports,Nintendo,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,Nintendo,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Nintendo,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,Nintendo,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33
5,Pokemon Red/Pokemon Blue,Nintendo,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
6,Tetris,Nintendo,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
8,Wii Play,Nintendo,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,Nintendo,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,Nintendo,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
13,Pokemon Gold/Pokemon Silver,Nintendo,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
14,Wii Fit,Nintendo,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,Nintendo,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22
16,Kinect Adventures!,MICROSOFT,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,SONY,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,SONY,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,Nintendo,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
22,Super Mario Land,Nintendo,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,Nintendo,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,MICROSOFT,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,SONY,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,Nintendo,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
29,Gran Turismo 3: A-Spec,SONY,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,MICROSOFT,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,Nintendo,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,MICROSOFT,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,Nintendo,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,SONY,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,SONY,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,MICROSOFT,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,MICROSOFT,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,SONY,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,SONY,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,Nintendo,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,SONY,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
43,Mario Kart 7,Nintendo,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
44,Halo 3,MICROSOFT,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,SONY,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
47,Super Mario 64,Nintendo,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,SONY,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,Nintendo,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,Nintendo,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,MICROSOFT,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,SONY,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,Nintendo,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,SONY,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,SONY,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,SONY,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,Nintendo,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,Nintendo,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
61,Just Dance 3,Nintendo,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26
62,Call of Duty: Ghosts,MICROSOFT,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,MICROSOFT,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,Nintendo,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,Nintendo,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
66,Halo 4,MICROSOFT,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,SONY,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,SONY,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,Nintendo,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,SONY,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,MICROSOFT,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,Nintendo,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
73,Minecraft,MICROSOFT,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,Nintendo,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
76,The Elder Scrolls V: Skyrim,MICROSOFT,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,Nintendo,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,SONY,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,Wii Party,Nintendo,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
80,Halo 2,MICROSOFT,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,Nintendo,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
83,FIFA Soccer 13,SONY,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
85,GoldenEye 007,Nintendo,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,Nintendo,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,SONY,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,SONY,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
91,Grand Theft Auto: Liberty City Stories,SONY,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy 2,Nintendo,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),SONY,PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,SONY,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,Nintendo,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,SONY,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
97,Super Mario Bros. 2,Nintendo,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros. for Wii U and 3DS,Nintendo,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
99,Call of Duty: World at War,MICROSOFT,X360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37
100,Battlefield 3,MICROSOFT,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,Nintendo,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,MICROSOFT,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
103,Just Dance,Nintendo,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27
104,Battlefield 3,SONY,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
105,Need for Speed Underground,SONY,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
106,Tekken 3,SONY,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,SONY,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros. Melee,Nintendo,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
109,Mario Kart 8,Nintendo,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,SONY,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
111,Mario Kart: Double Dash!!,Nintendo,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
112,Just Dance 4,Nintendo,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91
113,FIFA 14,SONY,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground 2,SONY,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,SONY,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
116,Uncharted 3: Drake's Deception,SONY,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,SONY,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
118,Zumba Fitness,Nintendo,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81
119,Gears of War 2,MICROSOFT,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,SONY,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
121,Call of Duty 4: Modern Warfare,SONY,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,SONY,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
124,Red Dead Redemption,SONY,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,SONY,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,Nintendo,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,SONY,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
128,The Legend of Zelda,Nintendo,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
129,Assassin's Creed III,SONY,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
130,Halo: Combat Evolved,MICROSOFT,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
131,Pokémon Emerald Version,Nintendo,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,SONY,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,Nintendo,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,MICROSOFT,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,MICROSOFT,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
136,Super Mario Sunshine,Nintendo,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,Nintendo,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
139,Driver,SONY,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
140,Kinect Sports,MICROSOFT,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,MICROSOFT,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
142,Gears of War,MICROSOFT,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,SONY,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
145,Metal Gear Solid 4: Guns of the Patriots,SONY,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,SONY,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,SONY,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,SONY,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
149,LittleBigPlanet,SONY,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
151,LEGO Star Wars: The Complete Saga,Nintendo,Wii,2007,Action,LucasArts,3.66,1.63,0,0.53,5.83
152,Resident Evil 2,SONY,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
153,Tekken 2,SONY,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
155,Destiny,SONY,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
156,Tetris,Nintendo,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
157,Assassin's Creed II,SONY,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros.,Nintendo,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
159,Assassin's Creed,MICROSOFT,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,SONY,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,MICROSOFT,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,SONY,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,Nintendo,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,Nintendo,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,Nintendo,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
166,Pokemon Stadium,Nintendo,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
167,Call of Duty: World at War,SONY,PS3,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,SONY,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
169,Minecraft,SONY,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
170,Final Fantasy XIII,SONY,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
171,Dr. Mario,Nintendo,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
172,Pokemon Pinball,Nintendo,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
173,Assassin's Creed III,MICROSOFT,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
174,Final Fantasy IX,SONY,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy X-2,SONY,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong 64,Nintendo,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
177,Assassin's Creed II,MICROSOFT,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
179,Tomb Raider II,SONY,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
180,Madden NFL 2004,SONY,PS2,2004,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,SONY,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
183,Super Mario Bros. 3,Nintendo,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,Nintendo,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,Nintendo,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
186,FIFA Soccer 13,MICROSOFT,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
188,Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,Nintendo,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
191,Medal of Honor: Rising Sun,SONY,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
192,Kirby's Dream Land,Nintendo,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
193,Fable III,MICROSOFT,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,MICROSOFT,XOne,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
196,Guitar Hero II,SONY,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
197,Resident Evil 5,SONY,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,MICROSOFT,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,SONY,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,SONY,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
201,Super Mario Bros.,Nintendo,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
202,Resident Evil,SONY,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,SONY,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
204,Super Smash Bros. for Wii U and 3DS,Nintendo,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
205,Warzone 2100,SONY,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01
206,Spyro the Dragon,SONY,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
207,Link's Crossbow Training,Nintendo,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5
208,Guitar Hero III: Legends of Rock,SONY,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
209,Fallout 3,MICROSOFT,X360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
211,Uncharted: Drake's Fortune,SONY,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
212,Madden NFL 06,SONY,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
214,Diddy Kong Racing,Nintendo,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
